2022-09-23 16:11:39|INFO|transformer.py[:283]| Parameters of the loading ===> {'logger': <Logger model_log (DEBUG)>, 'network_name': 'Transformer', 'data_dir': './datasets', 'output_dir': './alphamind', 'tensorboard_dir': './tensorboard', 'input_vocab_size': 3256, 'embedding_size': 128, 'max_seq_length': 500, 'model_ckpt_name': 'transformer.model.ckpt', 'batch_size': 16, 'num_epochs': 2, 'ckpt_model_num': 500, 'show_data_shep': False, 'num_heads': 8, 'dropout_rate': 0.5}
2022-09-23 16:11:39|INFO|transformer.py[:219]|Data loading ./datasets
2022-09-23 16:11:39|INFO|transformer.py[:221]|create model Transformer !
2022-09-23 16:11:42|INFO|transformer.py[:231]|Create the model optimizer !
2022-09-23 16:11:42|INFO|transformer.py[:254]|Start model training !
2022-09-23 16:11:42|INFO|transformer.py[:172]|Data normalization !
2022-09-23 16:12:47|INFO|transformer.py[:287]| Parameters of the loading ===> {'logger': <Logger model_log (DEBUG)>, 'network_name': 'Transformer', 'data_dir': './datasets', 'output_dir': './alphamind', 'tensorboard_dir': './tensorboard', 'input_vocab_size': 3256, 'embedding_size': 128, 'max_seq_length': 500, 'model_ckpt_name': 'transformer.model.ckpt', 'batch_size': 16, 'num_epochs': 2, 'ckpt_model_num': 500, 'show_data_shep': False, 'num_heads': 8, 'dropout_rate': 0.5}
2022-09-23 16:12:47|INFO|transformer.py[:223]|Data loading ./datasets
2022-09-23 16:12:47|INFO|transformer.py[:225]|create model Transformer !
2022-09-23 16:12:50|INFO|transformer.py[:235]|Create the model optimizer !
2022-09-23 16:12:50|INFO|transformer.py[:258]|Start model training !
2022-09-23 16:12:50|INFO|transformer.py[:176]|Data normalization !
2022-09-23 16:14:10|INFO|transformer.py[:287]| Parameters of the loading ===> {'logger': <Logger model_log (DEBUG)>, 'network_name': 'Transformer', 'data_dir': './datasets', 'output_dir': './alphamind', 'tensorboard_dir': './tensorboard', 'input_vocab_size': 3256, 'embedding_size': 128, 'max_seq_length': 500, 'model_ckpt_name': 'transformer.model.ckpt', 'batch_size': 16, 'num_epochs': 2, 'ckpt_model_num': 500, 'show_data_shep': False, 'num_heads': 8, 'dropout_rate': 0.5}
2022-09-23 16:14:10|INFO|transformer.py[:223]|Data loading ./datasets
2022-09-23 16:14:10|INFO|transformer.py[:225]|create model Transformer !
2022-09-23 16:14:13|INFO|transformer.py[:235]|Create the model optimizer !
2022-09-23 16:14:13|INFO|transformer.py[:258]|Start model training !
2022-09-23 16:14:13|INFO|transformer.py[:176]|Data normalization !
2022-09-23 16:14:55|INFO|transformer.py[:287]| Parameters of the loading ===> {'logger': <Logger model_log (DEBUG)>, 'network_name': 'Transformer', 'data_dir': './datasets', 'output_dir': './alphamind', 'tensorboard_dir': './tensorboard', 'input_vocab_size': 3256, 'embedding_size': 128, 'max_seq_length': 500, 'model_ckpt_name': 'transformer.model.ckpt', 'batch_size': 16, 'num_epochs': 2, 'ckpt_model_num': 500, 'show_data_shep': False, 'num_heads': 8, 'dropout_rate': 0.5}
2022-09-23 16:14:55|INFO|transformer.py[:223]|Data loading ./datasets
2022-09-23 16:14:55|INFO|transformer.py[:225]|create model Transformer !
2022-09-23 16:14:58|INFO|transformer.py[:235]|Create the model optimizer !
2022-09-23 16:14:58|INFO|transformer.py[:258]|Start model training !
2022-09-23 16:14:58|INFO|transformer.py[:176]|Data normalization !
